# description : ELT lateral focus (6 mirrors), with spider emission
# author : Oliver Czoske
# source : ESO-333023_1, ESO-253082_4-0
# date_created  : 2021-02-04
# date_modified : 2021-12-01
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# changes :
#  - 2021-02-05 (OC) Added inner and outer diameters
#  - 2021-12-01 (OC) Reflection reduced by 12 per cent
#  - 2026-06-03 (AZ) converted to csv format
#
# notes :
#  - derived from ESO-333023_1 (R. Holzloehner)
#  - emissivity is calculated from ESO-253082_4, sect 4.12.2
#  - script convert_ELT_throughput_budget.R
#  - see ESO-306070 and ESO-293390 for background
#  - includes M1, M2, M3, M4, M5, M6
#  - includes spider emission (field-tracking)
#  - central obscuration assumed to be masked
#  - reflection includes dust contamination as in ESO-253082_4, sect 4.11
#  - from AstarVienne IRDB
#
# wavelength (um),reflection,emissivity
0.3000,0.0000,1.1730
0.3050,0.0000,1.1730
0.3100,0.0000,1.1730
0.3150,0.0000,1.1730
0.3200,0.0000,1.1730
0.3250,0.0000,1.1730
0.3300,0.0018,1.1710
0.3350,0.0167,1.1540
0.3400,0.0457,1.1211
0.3450,0.0791,1.0831
0.3500,0.1111,1.0467
0.3550,0.1410,1.0128
0.3600,0.1660,0.9844
0.3650,0.1920,0.9548
0.3700,0.2151,0.9286
0.3750,0.2369,0.9038
0.3800,0.2593,0.8783
0.3850,0.2790,0.8559
0.3900,0.2988,0.8335
0.3950,0.3175,0.8122
0.4000,0.3372,0.7898
0.4050,0.3540,0.7707
0.4100,0.3705,0.7520
0.4150,0.3874,0.7328
0.4200,0.4011,0.7172
0.4250,0.4154,0.7010
0.4300,0.4284,0.6862
0.4350,0.4400,0.6730
0.4400,0.4523,0.6590
0.4450,0.4632,0.6466
0.4500,0.4728,0.6357
0.4550,0.4819,0.6254
0.4600,0.4906,0.6155
0.4650,0.4974,0.6078
0.4700,0.5052,0.5989
0.4750,0.5120,0.5912
0.4800,0.5214,0.5805
0.4850,0.5268,0.5744
0.4900,0.5316,0.5689
0.4950,0.5386,0.5609
0.5000,0.5430,0.5559
0.5050,0.5514,0.5464
0.5100,0.5543,0.5431
0.5150,0.5590,0.5378
0.5200,0.5645,0.5315
0.5250,0.5675,0.5281
0.5300,0.5716,0.5234
0.5350,0.5777,0.5165
0.5400,0.5809,0.5129
0.5450,0.5841,0.5092
0.5500,0.5881,0.5047
0.5550,0.5927,0.4995
0.5600,0.5922,0.5000
0.5650,0.5972,0.4944
0.5700,0.6008,0.4903
0.5750,0.6033,0.4874
0.5800,0.6080,0.4821
0.5850,0.6085,0.4815
0.5900,0.6120,0.4775
0.5950,0.6146,0.4746
0.6000,0.6168,0.4721
0.6050,0.6185,0.4702
0.6100,0.6222,0.4660
0.6150,0.6223,0.4658
0.6200,0.6231,0.4649
0.6250,0.6283,0.4590
0.6300,0.6284,0.4589
0.6350,0.6289,0.4583
0.6400,0.6307,0.4563
0.6450,0.6342,0.4523
0.6500,0.6335,0.4531
0.6550,0.6381,0.4479
0.6600,0.6387,0.4472
0.6650,0.6389,0.4470
0.6700,0.6407,0.4449
0.6750,0.6436,0.4416
0.6800,0.6450,0.4401
0.6850,0.6455,0.4395
0.6900,0.6465,0.4383
0.6950,0.6479,0.4368
0.7000,0.6479,0.4367
0.7050,0.6512,0.4330
0.7100,0.6488,0.4357
0.7150,0.6524,0.4316
0.7200,0.6518,0.4323
0.7250,0.6530,0.4310
0.7300,0.6575,0.4258
0.7350,0.6555,0.4281
0.7400,0.6559,0.4277
0.7450,0.6576,0.4257
0.7500,0.6596,0.4235
0.7550,0.6620,0.4207
0.7600,0.6630,0.4196
0.7650,0.6611,0.4218
0.7700,0.6638,0.4187
0.7750,0.6619,0.4208
0.7800,0.6635,0.4190
0.7850,0.6679,0.4140
0.7900,0.6618,0.4209
0.7950,0.6639,0.4186
0.8000,0.6452,0.4398
0.8050,0.6499,0.4345
0.8100,0.6494,0.4350
0.8150,0.6537,0.4302
0.8200,0.6518,0.4323
0.8250,0.6522,0.4319
0.8300,0.6551,0.4286
0.8350,0.6523,0.4317
0.8400,0.6593,0.4238
0.8450,0.6550,0.4287
0.8500,0.6604,0.4225
0.8550,0.6660,0.4162
0.8600,0.6667,0.4154
0.8650,0.6680,0.4139
0.8700,0.6721,0.4092
0.8750,0.6750,0.4059
0.8800,0.6891,0.3899
0.8850,0.6788,0.4016
0.8900,0.6807,0.3995
0.8950,0.6834,0.3964
0.9000,0.6860,0.3934
0.9050,0.6905,0.3883
0.9100,0.6927,0.3858
0.9150,0.6934,0.3850
0.9200,0.6972,0.3807
0.9250,0.7008,0.3766
0.9300,0.7033,0.3738
0.9350,0.7096,0.3666
0.9400,0.7121,0.3638
0.9450,0.7168,0.3585
0.9500,0.7179,0.3572
0.9550,0.7217,0.3529
0.9600,0.7230,0.3514
0.9650,0.7230,0.3514
0.9700,0.7264,0.3476
0.9750,0.7299,0.3436
0.9800,0.7309,0.3424
0.9850,0.7324,0.3407
0.9900,0.7357,0.3370
0.9950,0.7352,0.3375
1.0000,0.7356,0.3371
1.0050,0.7398,0.3323
1.0100,0.7406,0.3314
1.0150,0.7441,0.3274
1.0200,0.7449,0.3265
1.0250,0.7475,0.3236
1.0300,0.7486,0.3223
1.0350,0.7488,0.3221
1.0400,0.7503,0.3204
1.0450,0.7536,0.3166
1.0500,0.7510,0.3196
1.0550,0.7551,0.3149
1.0600,0.7560,0.3139
1.0650,0.7544,0.3157
1.0700,0.7578,0.3119
1.0750,0.7595,0.3099
1.0800,0.7578,0.3119
1.0850,0.7583,0.3113
1.0900,0.7585,0.3111
1.0950,0.7608,0.3084
1.1000,0.7599,0.3095
1.1050,0.7621,0.3070
1.1100,0.7622,0.3069
1.1150,0.7624,0.3066
1.1200,0.7662,0.3023
1.1250,0.7640,0.3048
1.1300,0.7641,0.3047
1.1350,0.7667,0.3018
1.1400,0.7663,0.3022
1.1450,0.7658,0.3028
1.1500,0.7686,0.2996
1.1550,0.7699,0.2981
1.1600,0.7704,0.2976
1.1650,0.7698,0.2982
1.1700,0.7708,0.2971
1.1750,0.7714,0.2964
1.1800,0.7711,0.2967
1.1850,0.7742,0.2932
1.1900,0.7748,0.2926
1.1950,0.7723,0.2954
1.2000,0.7756,0.2916
1.2050,0.7748,0.2925
1.2100,0.7823,0.2840
1.2150,0.7792,0.2875
1.2200,0.7793,0.2874
1.2250,0.7816,0.2848
1.2300,0.7805,0.2861
1.2350,0.7833,0.2829
1.2400,0.7813,0.2852
1.2450,0.7828,0.2834
1.2500,0.7855,0.2804
1.2550,0.7855,0.2804
1.2600,0.7855,0.2804
1.2650,0.7860,0.2798
1.2700,0.7858,0.2801
1.2750,0.7884,0.2771
1.2800,0.7860,0.2798
1.2850,0.7887,0.2768
1.2900,0.7891,0.2763
1.2950,0.7902,0.2750
1.3000,0.7880,0.2775
1.3050,0.7913,0.2738
1.3100,0.7873,0.2783
1.3150,0.7896,0.2757
1.3200,0.7901,0.2752
1.3250,0.7902,0.2751
1.3300,0.7903,0.2749
1.3350,0.7921,0.2729
1.3400,0.7924,0.2725
1.3450,0.7914,0.2737
1.3500,0.7945,0.2702
1.3550,0.7952,0.2694
1.3600,0.7939,0.2708
1.3650,0.7954,0.2691
1.3700,0.7982,0.2660
1.3750,0.7964,0.2680
1.3800,0.7970,0.2673
1.3850,0.7971,0.2672
1.3900,0.7980,0.2662
1.3950,0.7973,0.2670
1.4000,0.7958,0.2687
1.4050,0.7984,0.2657
1.4100,0.8010,0.2628
1.4150,0.7978,0.2664
1.4200,0.7990,0.2650
1.4250,0.7963,0.2681
1.4300,0.7984,0.2657
1.4350,0.7985,0.2656
1.4400,0.7984,0.2657
1.4450,0.7967,0.2677
1.4500,0.7993,0.2647
1.4550,0.7985,0.2656
1.4600,0.7993,0.2647
1.4650,0.7998,0.2641
1.4700,0.8016,0.2621
1.4750,0.7981,0.2661
1.4800,0.8008,0.2630
1.4850,0.8004,0.2634
1.4900,0.8018,0.2619
1.4950,0.8004,0.2635
1.5000,0.8010,0.2628
1.5050,0.7987,0.2654
1.5100,0.8007,0.2631
1.5150,0.8027,0.2608
1.5200,0.8040,0.2594
1.5250,0.8008,0.2630
1.5300,0.8036,0.2598
1.5350,0.8021,0.2615
1.5400,0.8045,0.2588
1.5450,0.8007,0.2631
1.5500,0.8045,0.2588
1.5550,0.8044,0.2589
1.5600,0.8037,0.2597
1.5650,0.8031,0.2604
1.5700,0.8048,0.2585
1.5750,0.8029,0.2606
1.5800,0.8029,0.2606
1.5850,0.8061,0.2570
1.5900,0.8040,0.2594
1.5950,0.8034,0.2600
1.6000,0.8039,0.2595
1.6050,0.8012,0.2625
1.6100,0.8045,0.2588
1.6150,0.8056,0.2575
1.6200,0.8042,0.2591
1.6250,0.8043,0.2590
1.6300,0.8033,0.2602
1.6350,0.8032,0.2603
1.6400,0.8024,0.2612
1.6450,0.8029,0.2606
1.6500,0.8005,0.2633
1.6550,0.8034,0.2600
1.6600,0.8019,0.2617
1.6650,0.8010,0.2628
1.6700,0.7995,0.2645
1.6750,0.8039,0.2595
1.6800,0.8001,0.2638
1.6850,0.7986,0.2655
1.6900,0.8008,0.2630
1.6950,0.8014,0.2623
1.7000,0.7976,0.2666
1.7050,0.8004,0.2635
1.7100,0.7975,0.2667
1.7150,0.7989,0.2652
1.7200,0.7999,0.2640
1.7250,0.7986,0.2655
1.7300,0.8000,0.2639
1.7350,0.8006,0.2632
1.7400,0.7981,0.2661
1.7450,0.7994,0.2646
1.7500,0.8005,0.2633
1.7550,0.8004,0.2634
1.7600,0.8005,0.2633
1.7650,0.8005,0.2633
1.7700,0.8007,0.2631
1.7750,0.8033,0.2602
1.7800,0.8034,0.2601
1.7850,0.8021,0.2615
1.7900,0.8025,0.2611
1.7950,0.8045,0.2588
1.8000,0.8000,0.2639
1.8050,0.8025,0.2611
1.8100,0.8035,0.2599
1.8150,0.8048,0.2585
1.8200,0.8051,0.2581
1.8250,0.8070,0.2559
1.8300,0.8055,0.2577
1.8350,0.8041,0.2593
1.8400,0.8045,0.2588
1.8450,0.8053,0.2579
1.8500,0.8098,0.2528
1.8550,0.8079,0.2549
1.8600,0.8048,0.2584
1.8650,0.8065,0.2565
1.8700,0.8067,0.2563
1.8750,0.8052,0.2580
1.8800,0.8078,0.2550
1.8850,0.8082,0.2546
1.8900,0.8078,0.2550
1.8950,0.8081,0.2547
1.9000,0.8081,0.2547
1.9050,0.8047,0.2586
1.9100,0.8094,0.2532
1.9150,0.8107,0.2517
1.9200,0.8078,0.2551
1.9250,0.8087,0.2540
1.9300,0.8092,0.2535
1.9350,0.8116,0.2507
1.9400,0.8093,0.2533
1.9450,0.8138,0.2482
1.9500,0.8106,0.2519
1.9550,0.8116,0.2507
1.9600,0.8126,0.2496
1.9650,0.8114,0.2509
1.9700,0.8136,0.2485
1.9750,0.8106,0.2519
1.9800,0.8122,0.2501
1.9850,0.8123,0.2499
1.9900,0.8123,0.2499
1.9950,0.8124,0.2498
2.0000,0.8144,0.2476
2.0050,0.8135,0.2486
2.0100,0.8150,0.2469
2.0150,0.8149,0.2470
2.0200,0.8161,0.2456
2.0250,0.8161,0.2456
2.0300,0.8166,0.2451
2.0350,0.8173,0.2442
2.0400,0.8166,0.2451
2.0450,0.8166,0.2450
2.0500,0.8201,0.2411
2.0550,0.8172,0.2444
2.0600,0.8187,0.2427
2.0650,0.8197,0.2415
2.0700,0.8195,0.2417
2.0750,0.8187,0.2427
2.0800,0.8225,0.2383
2.0850,0.8179,0.2436
2.0900,0.8221,0.2388
2.0950,0.8222,0.2387
2.1000,0.8215,0.2395
2.1050,0.8212,0.2398
2.1100,0.8231,0.2377
2.1150,0.8230,0.2378
2.1200,0.8235,0.2372
2.1250,0.8242,0.2364
2.1300,0.8246,0.2359
2.1350,0.8242,0.2364
2.1400,0.8248,0.2357
2.1450,0.8258,0.2346
2.1500,0.8239,0.2367
2.1550,0.8267,0.2336
2.1600,0.8260,0.2344
2.1650,0.8274,0.2328
2.1700,0.8255,0.2349
2.1750,0.8282,0.2319
2.1800,0.8258,0.2346
2.1850,0.8284,0.2316
2.1900,0.8257,0.2347
2.1950,0.8276,0.2326
2.2000,0.8269,0.2333
2.2050,0.8282,0.2319
2.2100,0.8290,0.2310
2.2150,0.8320,0.2276
2.2200,0.8292,0.2307
2.2250,0.8314,0.2282
2.2300,0.8304,0.2294
2.2350,0.8301,0.2297
2.2400,0.8274,0.2328
2.2450,0.8312,0.2284
2.2500,0.8342,0.2250
2.2550,0.8388,0.2198
2.2600,0.8395,0.2190
2.2650,0.8512,0.2057
2.2700,0.8475,0.2099
2.2750,0.8416,0.2166
2.2800,0.8364,0.2226
2.2850,0.8290,0.2310
2.2900,0.8312,0.2284
2.2950,0.8321,0.2274
2.3000,0.8343,0.2249
2.3050,0.8322,0.2273
2.3100,0.8330,0.2264
2.3150,0.8312,0.2284
2.3200,0.8334,0.2260
2.3250,0.8351,0.2240
2.3300,0.8338,0.2255
2.3350,0.8370,0.2219
2.3400,0.8342,0.2251
2.3450,0.8342,0.2250
2.3500,0.8370,0.2219
2.3550,0.8347,0.2245
2.3600,0.8371,0.2218
2.3650,0.8365,0.2224
2.3700,0.8376,0.2212
2.3750,0.8396,0.2189
2.3800,0.8361,0.2229
2.3850,0.8385,0.2202
2.3900,0.8356,0.2234
2.3950,0.8364,0.2226
2.4000,0.8339,0.2254
2.4050,0.8340,0.2253
2.4100,0.8393,0.2193
2.4150,0.8386,0.2200
2.4200,0.8356,0.2234
2.4250,0.8338,0.2255
2.4300,0.8381,0.2206
2.4350,0.8372,0.2216
2.4400,0.8370,0.2219
2.4450,0.8394,0.2191
2.4500,0.8405,0.2179
2.4550,0.8393,0.2192
2.4600,0.8375,0.2213
2.4650,0.8398,0.2187
2.4700,0.8408,0.2176
2.4750,0.8402,0.2182
2.4800,0.8420,0.2162
2.4850,0.8395,0.2190
2.4900,0.8434,0.2146
2.4950,0.8398,0.2187
2.5000,0.8387,0.2199
24.0000,0.8493,0.2079
